Date,Adj Close
2000-09-15,493.75
2000-09-18,484.0
2000-09-19,484.25
2000-09-20,483.25
2000-09-21,486.5
2000-09-22,491.0
2000-09-25,496.5
2000-09-26,496.5
2000-09-27,492.5
2000-09-28,497.0
2000-09-29,499.0
2000-10-02,488.5
2000-10-03,488.5
2000-10-04,489.0
2000-10-05,485.75
2000-10-06,486.0
2000-10-09,484.5
2000-10-10,483.0
2000-10-11,485.0
2000-10-12,478.0
2000-10-13,473.25
2000-10-16,465.0
2000-10-17,467.75
2000-10-18,468.0
2000-10-19,468.0
2000-10-20,473.25
2000-10-23,468.5
2000-10-24,463.5
2000-10-25,467.25
2000-10-26,467.0
2000-10-27,461.0
2000-10-30,457.75
2000-10-31,455.25
2000-11-01,462.75
2000-11-02,468.25
2000-11-03,473.5
2000-11-06,475.0
2000-11-07,473.5
2000-11-08,475.5
2000-11-09,474.0
2000-11-10,467.25
2000-11-13,462.5
2000-11-14,472.0
2000-11-15,478.5
2000-11-16,481.0
2000-11-17,479.0
2000-11-20,490.75
2000-11-21,491.25
2000-11-22,491.0
2000-11-23,
2000-11-24,495.25
2000-11-27,507.5
2000-11-28,497.0
2000-11-29,505.5
2000-11-30,502.0
2000-12-01,506.75
2000-12-04,505.25
2000-12-05,502.0
2000-12-06,499.75
2000-12-07,509.75
2000-12-08,500.0
2000-12-11,509.0
2000-12-12,512.0
2000-12-13,506.0
2000-12-14,508.75
2000-12-15,505.0
2000-12-18,513.0
2000-12-19,508.0
2000-12-20,512.0
2000-12-21,507.25
2000-12-22,511.0
2000-12-25,
2000-12-26,505.25
2000-12-27,501.75
2000-12-28,499.0
2000-12-29,499.0
2001-01-01,
2001-01-02,500.0
2001-01-03,493.75
2001-01-04,499.5
2001-01-05,493.75
2001-01-08,488.0
2001-01-09,491.0
2001-01-10,490.5
2001-01-11,482.0
2001-01-12,479.25
2001-01-15,
2001-01-16,481.0
2001-01-17,477.0
2001-01-18,473.5
2001-01-19,476.0
2001-01-22,469.5
2001-01-23,477.5
2001-01-24,468.0
2001-01-25,469.0
2001-01-26,467.0
2001-01-29,459.75
2001-01-30,461.25
2001-01-31,459.75
2001-02-01,458.25
2001-02-02,463.0
2001-02-05,468.0
2001-02-06,461.0
2001-02-07,465.25
2001-02-08,463.0
2001-02-09,453.0
2001-02-12,456.5
2001-02-13,450.0
2001-02-14,451.25
2001-02-15,453.25
2001-02-16,451.75
2001-02-19,
2001-02-20,458.5
2001-02-21,454.0
2001-02-22,459.0
2001-02-23,448.0
2001-02-26,447.75
2001-02-27,450.5
2001-02-28,454.75
2001-03-01,453.75
2001-03-02,460.0
2001-03-05,456.5
2001-03-06,456.5
2001-03-07,463.0
2001-03-08,458.5
2001-03-09,456.75
2001-03-12,455.0
2001-03-13,459.0
2001-03-14,442.0
2001-03-15,444.5
2001-03-16,447.0
2001-03-19,444.25
2001-03-20,445.75
2001-03-21,445.5
2001-03-22,438.5
2001-03-23,435.5
2001-03-26,439.75
2001-03-27,441.0
2001-03-28,444.0
2001-03-29,441.5
2001-03-30,436.0
2001-04-02,431.75
2001-04-03,430.0
2001-04-04,430.0
2001-04-05,439.0
2001-04-06,437.5
2001-04-09,437.75
2001-04-10,442.0
2001-04-11,434.5
2001-04-12,437.25
2001-04-13,
2001-04-16,434.75
2001-04-17,431.5
2001-04-18,428.25
2001-04-19,434.5
2001-04-20,431.0
2001-04-23,429.25
2001-04-24,423.0
2001-04-25,425.0
2001-04-26,424.75
2001-04-27,430.0
2001-04-30,422.0
2001-05-01,431.75
2001-05-02,436.0
2001-05-03,440.0
2001-05-04,442.75
2001-05-07,442.75
2001-05-08,440.25
2001-05-09,447.5
2001-05-10,447.5
2001-05-11,
2001-05-14,443.0
2001-05-15,443.5
2001-05-16,443.25
2001-05-17,447.25
2001-05-18,451.0
2001-05-21,446.5
2001-05-22,443.25
2001-05-23,445.25
2001-05-24,448.0
2001-05-25,450.0
2001-05-28,
2001-05-29,446.75
2001-05-30,439.5
2001-05-31,438.0
2001-06-01,454.25
2001-06-04,453.75
2001-06-05,457.0
2001-06-06,452.0
2001-06-07,461.5
2001-06-08,458.75
2001-06-11,
2001-06-12,473.0
2001-06-13,473.0
2001-06-14,474.75
2001-06-15,469.5
2001-06-18,461.5
2001-06-19,464.25
2001-06-20,470.0
2001-06-21,458.5
2001-06-22,453.5
2001-06-25,447.0
2001-06-26,445.0
2001-06-27,451.0
2001-06-28,456.0
2001-06-29,457.5
2001-07-02,471.75
2001-07-03,481.5
2001-07-04,
2001-07-05,482.25
2001-07-06,487.5
2001-07-09,486.0
2001-07-10,502.0
2001-07-11,505.0
2001-07-12,513.0
2001-07-13,525.0
2001-07-16,519.0
2001-07-17,529.0
2001-07-18,514.5
2001-07-19,517.5
2001-07-20,510.0
2001-07-23,492.0
2001-07-24,509.25
2001-07-25,504.5
2001-07-26,516.0
2001-07-27,510.5
2001-07-30,515.0
2001-07-31,496.25
2001-08-01,513.75
2001-08-02,512.0
2001-08-03,498.0
2001-08-06,498.0
2001-08-07,501.5
2001-08-08,508.5
2001-08-09,518.0
2001-08-10,514.0
2001-08-13,
2001-08-14,524.5
2001-08-15,512.0
2001-08-16,516.0
2001-08-17,505.0
2001-08-20,494.25
2001-08-21,493.0
2001-08-22,492.5
2001-08-23,485.5
2001-08-24,479.5
2001-08-27,477.5
2001-08-28,485.5
2001-08-29,475.25
2001-08-30,479.0
2001-08-31,474.5
2001-09-03,
2001-09-04,474.5
2001-09-05,479.25
2001-09-06,473.0
2001-09-07,465.75
2001-09-10,465.75
2001-09-11,465.25
2001-09-12,464.75
2001-09-13,480.0
2001-09-14,
2001-09-17,473.0
2001-09-18,479.0
2001-09-19,474.5
2001-09-20,469.0
2001-09-21,473.0
2001-09-24,470.5
2001-09-25,469.0
2001-09-26,463.25
2001-09-27,467.0
2001-09-28,460.25
2001-10-01,451.25
2001-10-02,452.0
2001-10-03,451.75
2001-10-04,451.25
2001-10-05,450.75
2001-10-08,454.25
2001-10-09,454.0
2001-10-10,451.0
2001-10-11,449.0
2001-10-12,446.5
2001-10-15,437.0
2001-10-16,430.5
2001-10-17,430.5
2001-10-18,435.25
2001-10-19,431.0
2001-10-22,423.0
2001-10-23,422.5
2001-10-24,422.0
2001-10-25,424.5
2001-10-26,428.25
2001-10-29,425.75
2001-10-30,427.75
2001-10-31,431.0
2001-11-01,428.75
2001-11-02,434.0
2001-11-05,432.5
2001-11-06,435.5
2001-11-07,432.0
2001-11-08,438.5
2001-11-09,436.5
2001-11-12,442.5
2001-11-13,445.25
2001-11-14,445.0
2001-11-15,446.5
2001-11-16,446.0
2001-11-19,453.5
2001-11-20,452.75
2001-11-21,449.75
2001-11-22,
2001-11-23,452.75
2001-11-26,451.5
2001-11-27,443.0
2001-11-28,443.0
2001-11-29,437.0
2001-11-30,439.5
2001-12-03,447.0
2001-12-04,446.0
2001-12-05,444.75
2001-12-06,444.0
2001-12-07,439.75
2001-12-10,445.25
2001-12-11,442.5
2001-12-12,436.75
2001-12-13,433.75
2001-12-14,435.0
2001-12-17,437.5
2001-12-18,436.75
2001-12-19,432.25
2001-12-20,435.5
2001-12-21,435.75
2001-12-24,435.5
2001-12-25,
2001-12-26,
2001-12-27,428.75
2001-12-28,428.5
2001-12-31,423.75
2002-01-01,
2002-01-02,422.75
2002-01-03,418.5
2002-01-04,423.5
2002-01-07,428.0
